'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
557.700000,30.109730,8.951160,8.427289,28.036223,6.860307
559.350000,32.642112,11.778895,8.942503,22.666159,6.408220
561.000000,29.682107,14.294357,10.649819,19.312441,6.210523
562.650000,28.786883,14.875408,9.121845,24.875824,5.597264
564.300000,32.201284,13.253086,8.074453,29.934899,5.256585
565.950000,33.573919,12.135001,10.223506,30.442276,5.117184
567.600000,34.062976,12.847427,11.690971,30.263503,4.820525
569.250000,31.936151,12.320027,11.581378,29.188565,4.993198
570.900000,28.795918,10.909041,11.659679,23.149955,5.824413
572.550000,26.154501,10.892699,12.022108,18.810568,6.302515
574.200000,21.519311,11.419829,11.879779,21.479011,6.086951
575.850000,24.354264,10.906555,11.964885,24.413099,6.586849
577.500000,33.257827,10.826765,12.010946,26.733488,7.700879
579.150000,33.977179,10.933726,12.389388,29.967364,8.268168
580.800000,31.698134,13.200937,12.825149,30.007235,7.927359
582.450000,40.621789,14.940597,12.110141,28.081575,7.492972
584.100000,48.051354,11.498600,11.606392,28.334659,7.135995
585.750000,45.589479,10.358668,10.964066,31.783644,6.319636
587.400000,42.421280,11.685792,11.220037,28.542564,5.977431
589.050000,33.843815,9.900643,11.921016,24.024418,5.678141
590.700000,27.290314,11.711305,10.357256,26.918465,4.596265
592.350000,34.373011,19.076643,9.614556,29.292447,3.682474
594.000000,42.331301,22.003865,10.203217,33.031225,4.057774
595.650000,43.787645,18.963643,10.125935,33.099751,6.344810
597.300000,42.898796,16.122161,11.179866,32.250740,8.250924
598.950000,36.375167,16.745474,15.083774,36.887115,6.969885
600.600000,35.546548,18.958200,17.758959,37.710104,5.388114
602.250000,38.026912,17.895984,15.327107,34.141794,5.983375
603.900000,34.825826,16.834435,12.383258,30.304217,6.549604
605.550000,34.973422,17.402044,11.494731,28.152452,6.098505
607.200000,32.441279,16.843948,10.985912,25.914846,5.995558
608.850000,29.391382,16.049528,10.655713,27.267929,6.243191
610.500000,34.524266,14.922080,10.896837,31.024182,6.617715
612.150000,38.437651,14.556141,11.813743,29.898220,6.563229
613.800000,32.418591,13.173125,12.029574,29.510360,5.176675
615.450000,23.062401,11.697478,14.362036,30.006843,5.263673
617.100000,21.153360,12.125763,17.070688,33.068656,6.381494
618.750000,24.302650,13.980691,14.219416,36.038690,5.695852
620.400000,28.622494,17.302439,11.588659,34.296029,4.695650
622.050000,33.426757,18.697857,12.700599,36.745190,4.383640
623.700000,35.578552,17.683130,15.128924,42.060887,4.716210
625.350000,38.627298,17.848511,17.412373,42.438865,5.735048
627.000000,39.725821,20.207170,17.482955,36.347687,6.736026
628.650000,34.337327,18.535461,15.777615,31.201092,6.732239
630.300000,30.140572,13.438122,13.995671,33.340414,5.250709
631.950000,30.680055,11.855261,14.591083,34.837650,4.192252
633.600000,36.917785,12.895856,16.556720,31.208958,5.069525
635.250000,41.530212,15.203708,16.591674,33.495059,6.070393
636.900000,33.775644,16.430712,13.937285,38.197518,6.105622
638.550000,28.560295,14.263796,14.015661,39.074282,5.543229
640.200000,34.411096,14.367927,17.951483,38.778693,5.065237
641.850000,36.661925,17.632904,18.249851,32.918340,5.646364
643.500000,29.546033,17.668792,15.421610,31.573803,6.222892
645.150000,26.072534,15.234293,12.892550,33.270521,5.787606
646.800000,31.016393,13.666385,11.343968,30.016504,5.446322
648.450000,31.997743,15.185154,10.336388,31.121609,5.703801
650.100000,31.713177,18.276784,11.869556,35.583106,5.541824
651.750000,34.392847,17.075206,16.468336,37.684051,4.764473
653.400000,35.265368,12.924161,19.305718,37.235260,4.786674
655.050000,35.592374,16.066551,18.136140,33.443972,5.554236
656.700000,31.681400,21.710689,17.214760,31.577611,6.056047
658.350000,21.457765,17.728849,17.427105,37.551698,5.807614
660.000000,15.276241,14.523460,14.973172,40.173283,5.026509
661.650000,19.154961,16.013261,13.372959,39.075512,4.455297
663.300000,25.105821,16.326791,14.375927,36.567313,4.099251
664.950000,29.236705,15.749959,14.561201,29.389437,3.939287
666.600000,31.921714,12.633139,14.327262,33.220429,3.848282
668.250000,30.032912,11.632840,14.043424,40.880436,4.214157
669.900000,28.575741,15.105165,14.253355,40.048908,4.168506
671.550000,27.287304,17.059336,16.970038,37.285917,3.438574
673.200000,20.969991,17.100053,17.489052,35.715576,3.920019
674.850000,20.164167,19.058351,14.457716,35.660352,4.761961
676.500000,24.416755,18.293812,13.170949,32.800339,4.689741
678.150000,26.905822,14.162954,14.461036,31.986913,4.476564
679.800000,31.012662,13.307243,13.808844,34.055357,4.396200
681.450000,32.510361,15.665731,13.731288,38.617519,4.722223
683.100000,30.693706,17.825614,15.393207,45.019029,4.844635
684.750000,29.152384,18.644454,16.780054,44.107779,4.136496
686.400000,35.274109,19.050020,19.079818,38.950915,3.469427
