'freq[cm-1]','tip3p[200ps/hann/30]', 'spce/qspcfw[200ps/hann/30]', 'spce/spcfw[200ps/hann/30]', 'spce[200ps/hann/30]', 'opc3pol[200ps/hann/30]', 'pbe[45ps/hann/30]'
349.000000,659.835746,192.422028,156.942956,451.462442,112.696494,21.663329
350.000000,662.484346,193.309689,157.626222,454.030737,113.140403,21.748246
351.000000,665.062349,194.184311,158.296076,456.558043,113.577295,21.836131
352.000000,667.684849,195.079660,158.974805,459.125746,114.028910,21.927078
353.000000,670.258452,195.966686,159.645980,461.674535,114.476786,22.021169
354.000000,672.793714,196.847362,160.304983,464.201755,114.924144,22.118467
355.000000,675.316858,197.732305,160.964888,466.734977,115.375111,22.215514
356.000000,677.779291,198.604465,161.608141,469.234982,115.821267,22.319808
357.000000,680.282885,199.494318,162.260331,471.770132,116.280130,22.435232
358.000000,682.749109,200.378760,162.901828,474.294033,116.737538,22.547152
359.000000,685.155149,201.248862,163.529080,476.779922,117.186746,22.662426
360.000000,687.614828,202.141281,164.166354,479.304736,117.652170,22.781024
361.000000,689.986979,203.010211,164.782583,481.773340,118.103334,22.902894
362.000000,692.407000,203.900548,165.411165,484.281295,118.568402,23.024536
363.000000,694.806764,204.781902,166.031137,486.767901,119.029391,23.153170
364.000000,697.135198,205.652121,166.633143,489.209482,119.484249,23.292177
365.000000,699.531481,206.541259,167.246790,491.688043,119.950783,23.427674
366.000000,701.839221,207.412563,167.839530,494.111030,120.405682,23.565997
367.000000,704.205807,208.305305,168.442286,496.565875,120.872924,23.706999
368.000000,706.551953,209.198310,169.036916,498.992685,121.336918,23.850520
369.000000,708.839344,210.072934,169.617276,501.385364,121.792993,23.993229
370.000000,711.196108,210.973432,170.213050,503.811919,122.260265,24.141662
371.000000,713.475152,211.850123,170.787520,506.186680,122.716057,24.291992
372.000000,715.830051,212.752148,171.379876,508.600136,123.183378,24.450446
373.000000,718.170877,213.648644,171.965690,510.999406,123.648018,24.604886
374.000000,720.466178,214.531248,172.535837,513.336731,124.104212,24.760692
375.000000,722.832743,215.436959,173.125035,515.729259,124.572869,24.917640
376.000000,725.185340,216.337212,173.707832,518.087653,125.037483,25.075501
377.000000,727.521005,217.233840,174.283964,520.413276,125.498749,25.230731
378.000000,729.881985,218.137228,174.866301,522.750370,125.964297,25.390146
379.000000,732.212599,219.030888,175.439979,525.038706,126.421313,25.556206
380.000000,734.628054,219.946975,176.033367,527.362731,126.894111,25.716646
381.000000,737.040318,220.863021,176.627066,529.656928,127.362514,25.876897
382.000000,739.447705,221.770720,177.216059,531.916226,127.827398,26.036742
